8;0.08;0.19
64;0.076;1.6
512;0.074;13.13
4096;0.074;105.04
32768;0.074;842.27
262144;0.074;6763.15
2097152;0.078;51047.1
16777216;0.079;402956.69
134217728;0.08;3206372.67
1073741824;0.08;25660944.74
8589934592;0.079;207282204.4
8;0.08;0.19
64;0.109;1.12
512;0.109;8.96
4096;0.109;71.63
32768;0.109;574.46
262144;0.108;4610.5
2097152;0.112;35663.02
16777216;0.114;280563.93
134217728;0.079;3260191.28
1073741824;0.078;26098813.57
8589934592;0.078;210705007.84
1073741824;0.078;26424783.56
8589934592;0.077;213111342.35
8;0.08;0.19
64;0.075;1.63
512;0.074;13.15
4096;0.074;105.27
32768;0.074;839.58
262144;0.074;6750.1
2097152;0.077;52002.76
16777216;0.078;412041.93
134217728;0.079;3257950.8
1073741824;0.079;25959210.58
8589934592;0.077;212621825.4

